le_gender,le_color1,le_color2,le_breed1,le_breed2,le_intake_type,le_intake_condition,le_intake_sex,le_outcome_type,le_outcome_sex,le_outcome_d_m,le_intake_d_m,Outcome_Age_Month,Duration_Day
0,34,10,289,106,3,5,0,5,0,1,1,148,1.2486111111111111
0,34,10,289,106,3,5,0,5,0,2,2,149,1.5708333333333333
0,34,10,29,106,1,5,2,7,2,2,1,115,6.221527777777778
0,35,36,217,166,3,5,2,5,2,2,2,113,0.8465277777777778
0,32,33,113,106,2,5,2,5,2,5,4,117,8.764583333333333
1,2,33,218,106,3,0,1,5,1,4,4,118,0.9180555555555556
0,33,36,25,106,2,5,2,5,2,6,5,114,8.2875
0,1,36,349,99,3,5,2,5,2,11,11,159,4.059027777777779
0,12,33,367,120,3,5,2,5,2,8,8,149,0.73125
0,32,36,107,106,1,5,2,0,2,0,0,168,1.9673611111111111
0,32,36,107,106,1,5,2,0,2,0,0,168,5.24375
0,26,33,274,166,3,5,2,7,2,0,3,162,20.834027777777774
0,12,1,173,166,2,5,2,5,2,6,6,131,9.140972222222222
1,12,33,72,106,3,5,1,5,1,6,6,144,0.08472222222222223
0,19,36,174,106,3,0,2,5,2,0,0,156,0.7638888888888888
1,2,30,174,106,3,5,1,0,1,2,8,105,130.83958333333334
0,34,32,291,106,2,5,2,0,2,6,6,114,18.90763888888889
1,2,36,217,50,3,5,0,0,1,9,5,99,124.24305555555556
0,34,10,275,106,1,5,2,7,2,4,0,120,9.021527777777775
0,2,8,217,11,3,5,2,5,2,9,9,119,0.18819444444444444
1,2,10,121,106,3,5,1,0,1,11,11,109,10.040277777777778
1,13,36,275,106,3,5,1,5,1,0,0,148,0.07152777777777777
0,34,10,71,17,3,5,2,0,2,1,1,109,16.045833333333334
1,2,33,290,32,3,5,1,5,1,1,1,169,1.2701388888888892
0,2,30,173,97,1,5,2,0,2,4,0,104,25.06736111111111
0,2,33,218,106,3,5,2,5,2,5,5,109,1.2840277777777778
0,12,33,274,166,3,5,2,7,2,5,5,114,14.130555555555556
1,16,36,89,106,3,5,1,5,1,6,6,163,0.8652777777777778
0,12,1,113,106,3,5,2,5,2,0,0,136,2.9215277777777784
1,2,36,117,106,3,5,1,5,1,2,2,94,0.16597222222222222
0,2,30,135,78,3,0,2,5,2,11,11,174,0.02361111111111111
1,12,33,275,106,3,5,1,0,1,8,7,153,404.8194444444445
1,2,36,266,153,1,5,0,7,0,10,9,191,1.0034722222222223
1,21,33,274,166,0,5,1,3,1,6,6,114,2.0472222222222216
0,2,10,106,166,3,3,2,5,2,5,5,113,1.1083333333333334
0,16,30,218,106,3,5,2,5,2,0,0,95,0.17708333333333334
0,26,36,106,166,2,5,2,5,2,5,5,137,1.1152777777777778
1,18,33,274,166,2,5,1,5,1,9,9,123,10.213888888888887
0,19,30,218,106,3,5,2,5,2,6,6,114,0.0020833333333333333
0,12,36,107,106,3,5,2,5,2,9,9,134,0.03958333333333333
1,12,1,36,39,1,5,1,5,1,8,8,117,4.195833333333334
0,26,1,166,106,3,3,2,5,2,0,0,136,0.3458333333333333
1,2,10,296,166,3,5,1,0,1,11,0,128,261.75208333333336
1,26,33,217,128,2,5,1,5,1,9,9,95,8.013194444444443
0,18,33,65,106,3,5,2,5,2,0,0,122,0.015972222222222218
0,18,33,65,106,3,0,2,5,2,7,7,114,0.3368055555555556
0,18,33,65,106,3,5,2,5,2,9,9,104,0.4194444444444445
0,33,36,64,97,3,5,2,0,2,0,2,126,54.81597222222222
1,32,15,181,51,3,5,1,0,1,11,10,127,8.755555555555556
1,2,33,65,106,2,5,1,5,1,10,10,129,2.9125
1,19,36,218,106,3,9,1,5,1,7,7,138,2.7381944444444444
1,32,33,322,106,3,5,1,5,1,9,9,111,1.8326388888888892
0,2,36,291,106,2,5,2,7,2,6,6,156,7.959027777777778
1,12,36,294,166,3,0,0,5,0,4,4,135,0.15763888888888888
1,2,33,174,106,3,5,1,5,1,11,11,163,0.17569444444444446
1,2,33,174,106,3,5,1,5,1,2,2,165,0.1951388888888889
0,34,36,228,166,3,5,2,5,2,4,4,102,0.15208333333333332
1,12,36,125,106,3,5,1,5,1,10,10,153,0.9020833333333332
0,2,10,296,97,3,5,2,7,2,4,3,128,40.87847222222222
0,32,30,275,106,1,5,2,1,2,3,3,156,0.05486111111111111
0,2,10,53,149,1,5,2,0,2,9,7,109,61.011111111111106
1,26,33,99,106,3,5,1,0,1,1,0,148,641.9902777777778
0,34,10,188,106,3,5,2,5,2,2,2,111,0.3111111111111111
0,2,11,53,148,2,5,2,5,2,7,7,117,6.8506944444444455
1,2,10,35,106,1,5,1,0,1,10,9,115,18.003472222222218
0,16,34,37,106,3,5,2,5,2,5,5,98,0.925
0,16,34,37,106,2,5,2,5,2,9,8,114,10.877083333333333
0,33,36,37,106,1,5,2,3,2,8,7,149,374.60277777777776
1,20,33,274,166,3,5,1,5,1,7,7,160,0.29791666666666666
1,2,30,29,106,3,5,1,5,1,11,11,144,0.05486111111111111
1,2,33,314,106,3,5,1,5,1,6,6,111,0.33194444444444443
1,31,33,241,106,3,5,1,5,1,4,4,36,3.1034722222222224
0,12,1,36,78,1,5,2,5,2,5,5,96,4.009027777777779
0,12,1,36,78,3,5,2,7,2,6,5,121,10.9375
0,12,1,36,78,3,5,2,5,2,11,11,102,1.0048611111111112
1,34,11,274,166,3,3,1,7,1,6,6,98,9.243055555555557
1,33,36,290,166,3,0,1,5,1,10,10,132,2.9458333333333333
1,18,30,29,106,3,3,1,5,1,5,5,139,1.5180555555555555
1,18,33,107,106,1,5,1,0,1,4,4,106,11.065972222222221
1,18,33,107,106,1,5,1,0,1,8,7,122,25.185416666666665
0,34,36,238,166,3,5,2,7,2,7,7,119,7.3604166666666675
0,2,33,315,166,3,5,2,5,2,6,6,133,0.034722222222222224
1,18,33,275,106,3,5,1,7,1,8,8,126,9.029166666666667
1,32,20,315,166,2,5,1,5,1,2,2,102,4.833333333333333
1,34,10,261,106,3,5,0,5,0,6,6,146,0.8465277777777778
0,12,1,174,106,3,5,2,5,2,5,5,157,1.1805555555555556
0,26,33,275,106,1,5,2,0,2,4,6,144,1022.9256944444444
1,13,33,274,166,3,5,1,5,1,1,3,132,302.3430555555556
1,13,33,274,166,2,5,1,0,1,1,3,144,681.6381944444445
0,21,33,275,106,1,5,2,5,2,7,7,89,3.986111111111111
0,33,36,34,166,1,5,2,7,2,5,5,102,6.192361111111111
1,13,33,275,106,3,3,1,7,1,6,6,157,7.925
0,32,33,65,106,3,5,2,5,2,9,9,116,0.04305555555555556
0,34,20,275,106,2,5,2,5,2,11,11,141,2.8270833333333334
0,34,26,104,117,1,9,2,7,2,1,11,115,9.031944444444443
1,35,36,217,166,3,3,0,5,0,4,4,119,0.2326388888888889
1,2,10,106,166,3,5,1,5,1,6,6,229,1.0326388888888889
1,2,33,65,106,2,0,0,7,0,1,11,139,7.002777777777778
1,2,33,65,106,1,5,0,3,0,1,1,139,3.3270833333333334
0,13,33,69,106,3,5,2,5,2,5,5,120,0.05486111111111111
1,2,10,217,51,3,5,1,5,1,4,4,131,0.21666666666666667
1,18,33,274,166,3,3,1,7,1,8,8,125,15.654861111111114
0,34,10,107,106,3,5,0,5,0,0,0,156,0.9159722222222222
0,34,10,107,106,3,5,0,0,0,0,0,180,5.235416666666667
0,16,30,218,106,3,5,2,5,2,3,3,141,0.10555555555555557
1,12,33,72,106,2,5,1,5,1,9,9,129,11.667361111111115
0,34,32,260,166,3,3,2,5,2,3,3,140,0.3486111111111111
0,8,33,99,106,3,5,2,5,2,9,9,113,4.583333333333333
0,2,30,296,166,1,0,2,5,2,0,0,114,4.184027777777779
0,26,33,72,106,1,5,2,3,2,5,5,119,3.970833333333333
0,18,30,106,166,3,5,2,5,2,7,7,181,2.1673611111111106
0,8,36,289,106,3,3,2,5,2,2,2,187,0.4423611111111111
0,3,33,275,106,3,3,2,0,2,2,11,122,420.6090277777778
0,3,33,275,106,3,5,2,5,2,3,3,87,1.9152777777777776
1,32,33,71,120,2,5,1,5,1,0,0,111,4.903472222222222
1,32,33,71,120,3,5,1,5,1,9,9,105,0.8229166666666666
1,32,33,71,120,3,5,1,5,1,2,2,97,7.003472222222222
1,32,33,71,120,3,5,1,5,1,3,3,134,0.8541666666666666
1,34,28,288,120,3,5,1,5,1,0,0,82,0.13333333333333333
1,2,36,218,106,3,5,1,5,1,7,7,121,0.021527777777777774
1,2,36,24,51,3,5,1,5,1,7,7,96,0.4493055555555556
0,13,36,275,106,3,5,2,5,2,3,3,211,0.04444444444444445
1,2,30,106,166,1,5,1,0,1,3,3,91,3.029166666666667
0,34,36,15,106,2,5,0,5,0,9,8,191,2.129166666666667
1,12,36,286,105,3,5,1,5,1,1,1,166,0.04236111111111111
1,32,33,218,106,0,5,1,3,1,3,3,86,0.1909722222222222
0,22,36,241,106,2,5,2,5,2,9,9,145,3.213888888888889
0,32,36,274,78,3,5,2,5,2,2,2,149,1.0625
1,16,30,217,166,3,5,1,5,1,3,3,138,0.034722222222222224
