Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A808164,"1205 CITATION
AUSTIN 78617
(30.225625, -97.52091)",Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair Mix,Gray Tabby/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808164
A808094,"8117 WILLET TRL
A AUSTIN 78745
(30.196819, -97.828042)",Yes (come to the shelter),11/04/2019,Cat,Domestic Medium Hair,Blue,Spayed Female,15 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808094
A808165,"1205 CITATION
AUSTIN 78617
(30.225625, -97.52091)",Yes (come to the shelter),11/04/2019,Cat,Siamese Mix,Lilac Point/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808165
A777113,"WELLLINGTON DRIVE AUSTIN 78723
(30.30723, -97.686715)",No (contact for more info),11/04/2019,Dog,Chihuahua Shorthair Mix,Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A777113
A807884,"10700 METRIC BLVD
AUSTIN 78758
(30.386568, -97.711644)",No (contact for more info),10/31/2019,Cat,Domestic Shorthair,Brown Tabby,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807884
A807940,"6907 DEBORAH DRIVE
AUSTIN 78752
(30.332552, -97.710036)",Yes (come to the shelter),11/01/2019,Dog,Bloodhound,Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807940
A807887,"6407 SPRINGDALE ROAD
AUSTIN 78723
(30.306527, -97.669867)",Yes (come to the shelter),10/31/2019,Dog,Chihuahua Shorthair,Tan/Black,Intact Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807887
A808001,"6107 IDLEWOOD COVE
AUSTIN 78745
(30.200347, -97.777948)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Black,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808001
A807902,"4600 GUADALUPE STREET
AUSTIN 78751
(30.312818, -97.731684)",Yes (come to the shelter),10/31/2019,Cat,Domestic Shorthair,Blue,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807902
A808026,"1156 W CESAR CHAVEZ STREET
AUSTIN 78703
(30.268929, -97.760472)",Yes (come to the shelter),11/03/2019,Dog,Labrador Retriever,Red,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808026
A807872,"5800 TECHNI CENTER DR
AUSTIN 78721
(30.278441, -97.672073)",No (contact for more info),10/31/2019,Cat,Domestic Shorthair,White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807872
A807873,"5800 TECHNI CENTER DR
AUSTIN 78721
(30.278441, -97.672073)",No (contact for more info),10/31/2019,Cat,Domestic Shorthair,White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807873
A807874,"5800 TECHNI CENTER DR
AUSTIN 78721
(30.278441, -97.672073)",No (contact for more info),10/31/2019,Cat,Domestic Shorthair,White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807874
A807950,"DAVIS LANE
AUSTIN 78745",Yes (come to the shelter),11/01/2019,Dog,Pit Bull,Brown Brindle/White,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807950
A618334,"12820 NORTH LAMAR BOULEVARD
AUSTIN 78753
(30.413572, -97.677613)",Yes (come to the shelter),11/01/2019,Dog,Yorkshire Terrier Mix,Tan/Silver,Spayed Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A618334
A808029,"10625 WEST PARMER LANE
AUSTIN 78717
(30.500131, -97.776614)",Yes (come to the shelter),11/03/2019,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808029
A807965,"5415 APPLE ORCHARD LANE
AUSTIN 78744
(30.199377, -97.729547)",Yes (come to the shelter),11/02/2019,Dog,Maltese Mix,Tan/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807965
A807967,"11404 WALNUT RIDGE DRIVE
AUSTIN 78753
(30.376685, -97.667742)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair Mix,White/Black,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807967
A709018,"JONES ROAD
AUSTIN 78745",Yes (come to the shelter),10/31/2019,Dog,Pit Bull Mix,Black/White,Neutered Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A709018
A807890,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Tan,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807890
A807891,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Tan,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807891
A807892,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Tan,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807892
A807900,"14400 DEWBERRY DRIVE
PFLUGERVILLE 78660
(30.41491, -97.631343)",Yes (come to the shelter),10/31/2019,Dog,Boxer Mix,Red/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807900
A807899,"1707 EAST SIXTH STREET
AUSTIN 78702
(30.26221, -97.724025)",Yes (come to the shelter),10/31/2019,Cat,Domestic Shorthair,Black,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807899
A807893,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Black/Tricolor,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807893
A808028,"7317 RHETT PL
AUSTIN 78744
(30.167477, -97.742604)",Yes (come to the shelter),11/03/2019,Dog,Anatolian Shepherd Mix,White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808028
A807974,"6005 LEISURE RUN ROAD
AUSTIN 78745
(30.204586, -97.78505)",Yes (come to the shelter),11/02/2019,Cat,Domestic Medium Hair Mix,Blue/White,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807974
A807996,"6107 IDLEWOOD COVE
AUSTIN 78745
(30.200347, -97.777948)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807996
A807997,"6107 IDLEWOOD COVE
AUSTIN 78745
(30.200347, -97.777948)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807997
A807987,"1601 EAST SLAUGHTER LANE
AUSTIN 78747
(30.152714, -97.768598)",No (contact for more info),11/02/2019,Cat,Domestic Shorthair,Brown Tabby,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807987
A490230,"5208 GARDEN OAKS DRIVE
AUSTIN 78745",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,12 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A490230
A794270,"2905 PARKER LANE
AUSTIN 78741
(30.225805, -97.741464)",Yes (come to the shelter),11/02/2019,Dog,Pug Mix,Fawn,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A794270
